Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Belarus,49.6,0,11.16,1.54742,3.37,25.55377376,0,53.46624719,2.5275,58.7925,186,180,167,175,81.5,205.5,0,7,140,63,120.5
Japan,337.4,7.87,9.37,1.95694,10.6,18.29761357,0,51.16559274,2.4925,57.105,171,208,162,164,200,64,0,37,144,77,122.7
Hungary,107.3,0,9.72,2.81936,11,29.8453998,28.8,52.43024832,2.64,59.266,191,203,136,163,138,205.5,3.5,13,132.5,58,124.35
Slovenia,99.2,0.23,8.98,2.48318,14.3,25.35698143,58.6,50.34442672,2.648,60.71666667,185,214,150,149,132,148,17,93,130,47,126.5
Luxembourg,183.5,0,11.94,5.55042,9.88,12.73039208,52.7,49.74325487,2.4625,57.95,147,176,37,167,169,205.5,13,145,146,74,127.95
Austria,97.7,0,8.74,3.21604,12.5,19.68568961,60.5,50.96886151,2.458888889,57.966,177,219,116,157,130.5,205.5,18,45,147,73,128.8
Switzerland,182.2,0,9.71,3.41103,15.1,18.23295327,0,50.45430065,2.44,59.43,170,204,110,145,168,205.5,0,87,148,56,129.35
Belgium,340,0.22,10.38,2.46098,14.7,15.0804098,79,50.68928284,2.36,60.6,161,193,152,148,201,150.5,23,69,153.5,48,129.9
Germany,230.9,0.67,8.25,2.45378,10.3,15.56910036,56.5,50.75779379,2.103333333,59.04,164,223,153,165,178,119,14,62,161,61,130
Czech Republic,129.8,0,9.02,1.45334,17.3,14.6261605,57.1,50.84529044,2.4375,60.065,158,213,170,133.5,150,205.5,15.5,53,149,53,130.05
